# dead-pointers: mentions a person has looked at and left on purpose. One per line:
#   <file relative to lab>            (the whole file)
#   <file relative to lab> :: <token> | <reason>
# Counted, not listed. Started 2026-09-10; nothing reviewed yet.
work-os/brand-os/engagement-os/references/writing-guide--POINTER.md :: writing-guide/ | a note about the folder that moved to the warehouse 2026-09-11; naming it is the point
work-os/brand-os/messaging/trust-is-the-product--POINTER.md :: engagement-os/references/writing-guide/ | names where it used to point, moved to the warehouse 2026-09-11
work-os/brand-os/messaging/trust-is-the-product--POINTER.md :: writing-guide-copies--moved-2026-09-11/ | a warehouse folder, outside the lab on purpose
work-os/brand-os/engagement-os/plans/agents/INVENTORY.md | dated Step 1 snapshot of 2026-09-08; lists what existed that day
work-os/brand-os/engagement-os/plans/agents/writer/INVENTORY.md | dated Step 1 snapshot of 2026-09-08; lists what existed that day
# --- Sweep of 2026-09-14 (follow-up F-20260910-1627-1). Whole files and folders first, then single mentions.
work-os/brand-os/docs/career-advisor-reasoning--2026-09-10/ | 62 reasoning files copied word for word from the career-advisor snapshot on 2026-09-10 (brand-os DECISIONS 036: "the drop is evidence, not canon"); every path names that old workspace
work-os/brand-os/engagement-os/references/corpus/chronicle/ | build chronicle of the buyer-signal-intelligence project, dated 2026-03-15 in its front matter; it names that project's files
work-os/ai-job-search/ | a clone of github.com/MadsLorentzen/ai-job-search (its git remote); its changelog and docs describe that project's own example files, not lab paths
work-os/brand-os/engagement-os/memory/concepts.md | ledger of coined labels; its purpose line says each entry carries a source pointer and a date, and the sources are the old chief-of-staff repo, now in the warehouse
work-os/brand-os/engagement-os/PLAN.md | the rolling two-week plan of August 2026 (D-119, 2026-08-17; last weekly review 2026-08-23); it names the old repo as it stood then
work-os/brand-os/DECISIONS.md | append-only decision log; each row names paths as they were on its date
RULINGS-IN-FORCE.md | derived 2026-09-08 from the old decision log; it names old homes and what is gone on purpose
work-os/brand-os/model/00-status.md | status record updated 2026-09-02; names the homes as they were that day
work-os/brand-os/model/01-corpus-reading-plan.md | Stage 0 reading plan prepared 2026-08-31; names the map sources where they sat that day
work-os/brand-os/model/06-domain-model-options.md | approved 2026-08-31 (CE-D13); cites the old my-os specs and the superseded positioning canon as its sources
work-os/brand-os/model/decision-log.md | decision log; rows name the output folder and sources as they were on their date
work-os/brand-os/engagement-os/editorial/LAYER-MAP.md | dated map of 2026-09-08; every line is a Known/Inferred/Unknown finding with its source
work-os/brand-os/engagement-os/editorial/strategist--HYPOTHESIS-v0--test-before-adopting.md | written 2026-09-08 and kept only as a prediction to score
work-os/brand-os/engagement-os/plans/agents/strategist/AGENT_SPEC.md | dated Step 4 output of 2026-09-08; names the ledger and log the agent would write ("if it exists")
